Country,Level,Branch,Department,Name,State,Issues,URL,Table No,Table Rows,Link Column,Party Column,Term Start Column,Term End Column,District,Dynamic Parse,Read columns right to left,Find Date,Parse Rowspan,Rep Link,Party Link,Notes,Alt Link
United States of America,Local,Executive,Mayoral,Mayor,Cincinnati,,https://en.wikipedia.org/wiki/List_of_mayors_of_Cincinnati,2,3,3,5,1,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Cleveland,,https://en.wikipedia.org/wiki/Mayor_of_Cleveland,3,3,3,8,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Columbus,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Columbus,_Ohio",2,3,3,6,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Dallas,,https://en.wikipedia.org/wiki/Mayor_of_Dallas,13,3,2,7,3,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Denver,,https://en.wikipedia.org/wiki/List_of_mayors_of_Denver,2,3,3,0,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Detroit,,https://en.wikipedia.org/wiki/List_of_mayors_of_Detroit,9,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Detroit,,https://en.wikipedia.org/wiki/List_of_mayors_of_Detroit,10,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Detroit,,https://en.wikipedia.org/wiki/List_of_mayors_of_Detroit,11,3,3,5,4,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Fort Worth,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Fort_Worth,_Texas",2,3,3,4,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Houston,,https://en.wikipedia.org/wiki/List_of_mayors_of_Houston,13,3,3,5,2,2,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Indianapolis,,https://en.wikipedia.org/wiki/List_of_mayors_of_Indianapolis,2,3,3,7,4,5,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
United States of America,Local,Executive,Mayoral,Mayor,Jacksonville,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Jacksonville,_Florida",15,3,1,4,2,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Jacksonville,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Jacksonville,_Florida",16,3,1,4,2,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Jacksonville,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Jacksonville,_Florida",17,3,1,4,2,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,Jacksonville,,"https://en.wikipedia.org/wiki/List_of_mayors_of_Jacksonville,_Florida",18,3,1,4,2,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
United States of America,Local,Executive,Mayoral,Mayor,"Kansas City, MO",,"https://en.wikipedia.org/wiki/Mayor_of_Kansas_City,_Missouri",11,3,1,4,3,3,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
